date,province,district,market,latitude,longitude,commodity,price,usdprice,year,month
2/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),33.62,0.3421,2004,2
4/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),32.98,0.3376,2004,4
5/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),34.1,0.3455,2004,5
6/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),33.74,0.3341,2004,6
8/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),34.78,0.3368,2004,8
9/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),37.14,0.3599,2004,9
10/15/2004,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),37.36,0.3596,2004,10
11/15/2004,Eastern,Ampara,Ampara,7.283333,81.666667,Rice (red nadu),41.75,0.3983,2004,11
11/15/2004,Northern,Jaffna,Jaffna,9.6567,80.0137,Rice (red nadu),113.75,1.0853,2004,11
11/15/2004,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,Rice (red nadu),32,0.3053,2004,11
11/15/2004,Northern,Mannar,Mannar,8.983333,79.9,Rice (red nadu),42.75,0.4079,2004,11
11/15/2004,Northern,Vavuniya,Vavuniya,8.75,80.5,Rice (red nadu),42.5,0.4055,2004,11
12/15/2004,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,Rice (red nadu),30,0.2849,2004,12
12/15/2004,Northern,Mannar,Mannar,8.983333,79.9,Rice (red nadu),55,0.5223,2004,12
12/15/2004,Northern,Vavuniya,Vavuniya,8.75,80.5,Rice (red nadu),56,0.5318,2004,12
1/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),38.39,0.3761,2005,1
2/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),36.25,0.3651,2005,2
3/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),33.99,0.3426,2005,3
6/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),31.32,0.3119,2005,6
7/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),30.47,0.3032,2005,7
9/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),30.68,0.303,2005,9
11/15/2005,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),32.39,0.3184,2005,11
2/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,Rice (red nadu),27,0.2644,2006,2
2/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,Rice (red nadu),30,0.2938,2006,2
2/15/2006,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,Rice (red nadu),29,0.284,2006,2
2/15/2006,Northern,Vavuniya,Vavuniya,8.75,80.5,Rice (red nadu),28,0.2742,2006,2
2/15/2006,Western,Colombo,Colombo City,6.931944,79.847778,Rice (red nadu),33.08,0.3239,2006,2
3/15/2006,Eastern,Ampara,Ampara,7.283333,81.666667,Rice (red nadu),25,0.2434,2006,3
3/15/2006,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,Rice (red nadu),26.8,0.2609,2006,3
3/15/2006,Northern,Jaffna,Jaffna,9.6567,80.0137,Rice (red nadu),30,0.2921,2006,3
